author,text,date,likes,polarity,rating,emotion,aspect
aldi,harga beras naik tapi knpa petani tetep dapet harga murah,-,0,Negatif,2,Marah,Beras:Mahal
RT19,"Jepang pejabatnya peduli rakyat, lah anggota dewan yang di negara ini malah joget"" nyepelein rakyat 🤨",-,0,Negatif,2,Sarkas,Mentan:Blunder
gadis msh,yg tolol itu bukan kita rakyat jelata tapi anggota DPR jelas jelas lebih tolol😭😭😭,-,0,Negatif,1,Marah,Mentan:Blunder
apotekerchanna,"ini dpr ya? pantes dongo, disamain sama jepang ya beda lah dari sistem pendapatan per orang nya",-,0,Negatif,2,Sarkas,Mentan:Blunder
Lili 💐,loh loh dipadakne Karo jepang,-,0,Negatif,2,Sarkas,Jepang:Beda
ozannursery Bibit durian,"jepang beras 1kg 100rb, UMR nya 40jt/bln. kalau harga yen di hitung pakai rupiah sampai 100rb per kg berarti nilai tukar rupiahnya dengan yen yang jelek. beli makan disana kalau pakai rupiah ya mahal semua orang nilai mata uang rupiahnya rendah ke yen jepang.",-,0,Negatif,5,Sarkas,Nilai Tukar Rupiah:Jelek
Alfiatrrhmnyh,KAREPMU PAKK KAREPMU WONG KOK PINTERE SEK MENGKONO,-,0,Negatif,5,Sarkas,Mentan:Blunder
phf,memang anjj,-,0,Negatif,2,Marah,Beras:Mahal
YAKOEB,"klo mau mensejahterakn petani harga jual padi harusnya tinggi, dan harga pupuk nya harus murah, lah ini harga beras pengen mahal, keuntungan nya bukan buat petani dong",-,0,Negatif,2,Marah,Harga Beras:Mahal
de mace,harga mlu yg dibandingin coba kinerja pemerintahnya yg dibandingin,-,0,Negatif,1,Sarkas,Mentan:Blunder
Anisya Zahra,"jepang kota yg pemerintahnya mensejahtrakan rakyatnya,jdi biar mo mahal it harga bahan2 yaaa ga ad masalah,Lah indo,rakyatnya di bikin miskin trus bahan pokok malah di buat mahal pula,yaaaa gimana yaaaa",-,0,Negatif,1,Marah,Pemerintahan:Mengkhianati Rakyat
nonaai,"tapi dijepang juga gada orang seperti kamu pak,makanya sejahtera",-,0,Positif,5,Senang,Jepang:Sejahtera
Apin.rowrrr,Jangan di samakan negara maju dengan negara yang banyak dramanya dong,-,0,Negatif,2,Sarkas,Aspek:Jepang:TidakAppleToApple
IM🤍🤍,woiiiiiiiii mikiiiiiiiirrrr,-,0,Netral,3,Netral,
Kak Hendra,"coba bandingin income dulu, baru harga",-,0,Positif,4,Senang,Income:Besar
N14R,"Lieur daaa aing ma, pemerintah ayenama Garelo jeung Gblok",-,0,Negatif,2,Sarkas,Pemerintah:Blunder
Harnita Harahap,"panas x hatiku pak, tamatan apa sih pak, masak tak bisa di bedakan gaji indo n jepang",-,0,Negatif,2,Sarkas,Gaji:Kecil
poongky,jepang gaji buruh berapa blok😂,-,0,Positif,5,Senang,Gaji:Banyak
RidoTradepreneur,itu mentri siapa yang lantik si gblk bener. ngambil keputusan gak pake dasar dulu,-,0,Negatif,1,Marah,Mentan:Blunder
Neng Geulishh,yaudah yg harga naiknya itu ditalangi pake gaji dpr bisa gak ya🤣😏😏,-,0,Negatif,2,Sarkas,Gaji:Kecil
Mas E,cangkemnya harus dikasih akal...,-,0,Negatif,5,Marah,Mentan:Blunder
UltramilkCoklat,"Muak banget muka ketua nya dengerin ocehan kosong bawahannya,",-,0,Negatif,1,Marah,Mentan:Blunder
Junee,@jid tuke @W E R A @made! ne pejabat ngelah otak ape sg sih?? indo bandinge jk jepang?? JEPANG????,-,0,Negatif,1,Marah,Mentan:Blunder
diahh,pak beda negara pak. beda nilai mata uangnya pak...,-,0,Negatif,2,Sarkas,Aspek:BedanyaHarga
lidyatalanila14,"jangan samakan dengan Jepang pak. Kalau gaji 2 juta sebulan berarti dapat 20 kg beras Cukup itu ???? itu baru biaya beras ya trus biaya lain2 , siapa yg mau ngasih ???? 😳🙈 apa bapak mau bantu biayain hidup masyarakat Indonesia????",-,0,Negatif,1,Marah,Beras:Mahal
snf97,daya beli masyarakat indo jangan dibandingin sama negara maju sedangkan indo negara berkembang yang pendapatan masyarakatnya masih rendah. bahkan ada yang rela puasa gak makan karena gak bisa beli beras.. Ya kalii luh mah ngomong doang gajiluh kan gede tunjangan juga gede .. 🥱,-,0,Negatif,5,Marah,Beras:Mahal
SAPA Coffee,kenapa menteri TOLOL di INDONESIA kaya masih bisa menjabat????,-,0,Negatif,1,Marah,Mentan:Blunder
achuuni89,"jepang negara makmur konoha negara mundur terus, lo bandingin ama jepang pak2 dasar anggota dpr bisa menjabat hanya modal nyogok bukan modal pinter",-,0,Negatif,1,Sarkas,Jepang:Kritik
Scorpio_91,mata uang Rp di sama in Ama mata uang jepang 🤣🤣🤣🤣,-,0,Positif,5,Senang,Mata Uang:Keren
pemberontak jalan lurus,Indonesia dibandingkan dengan kepang. menteri kurang minum kopi😁,-,0,Positif,5,Senang,Mentan:Kurang Minum Kopi
kianoo072,Hidup petani🔥🔥,-,0,Positif,5,Senang,Petani:Hidup
camelia shop,"buang dulu para koruptor baru rakyatbindonesia bisa beli beras kaya di jepang👍biar rakyat indo gk ribut perkara naik seribu😅,, nyadar gk si bicara apa,",-,0,Negatif,2,Sarkas,Mentan:Blunder
Andre YD,wooy Jepang lu lawan pejabatnya gak ada yang korupsi,-,0,Negatif,2,Sarkas,Jepang:Korupsi
camelia shop,"gimana mo bli beras sm ky harga di Jepang, rakyat Indonesia bnyk yg miskin gmn mo beli, dan tragisnya miskinnya karna koruptor, dan Jepang gk ada koruptor😂",-,0,Negatif,1,Marah,Mentan:Blunder
deasy79,"UMR aja berapa mint hrga beras disamain jepang, pengangguran aja msih bnyak,dan dia TDK tau kl beli pupuk aja dibatasi",-,0,Negatif,1,Marah,UMR:BedaDenganJepang
Nonatimur♡,"pak UMR Jepang sama kita aja udah kalah pak, diem kata gua mah😊",-,0,Positif,5,Senang,UMR Jepang:Mahal
Zaidan Mkiftalal,"lebih baik copot aja Mentri kayak gini ngak becus,,,beras naik terus",-,0,Negatif,5,Marah,Mentan:Blunder
patma,jepang gaji tinggi,-,0,Positif,5,Senang,Gaji:Kecil
auraq18,beras naik sedikit ribut katanya...🙄🙄🙄,-,0,Negatif,2,Sarkas,Beras:Mahal
Escobar,pertumbuhan ekonomi kita dengan jepang itu sangat beda jauh.. dari segi korupnya pun jauh bagaikan bumi dan langit 🙏,-,0,Negatif,1,Marah,Jepang:Beda
tuku snack01,"Pak kalau jadi menteri yang ngotak, bandingin negara yang penghasilan buruh kasarnya bisa 5-6x dari UMR Jakarta, belum lagi masih banyak orang kerja dibawah UMR.. kalau bandingin itu Apple to Apple 😜",-,0,Negatif,2,Sarkas,Mentan:Ngotak
Dewy Fairy,"Beliau itu kan di Kementan, jdi mungkin ingin mensejahterakan petani, ad pun urusan naik UMR, dll, itu nunggu kebijakan pemerintah yg lain kan?",-,0,Positif,4,Senang,Aspek:Mentan:Kesadaran
Win Kusniadi,"beras harus naik, kasihan petani.. konsepnya harus berbagi",-,0,Positif,4,Senang,Beras:HarusNaik
sribudi,"koruptor baru penjara aja dah banding padahal di korut nguap aja pas rapat dah di ,,,,,🤔🤔😁",-,0,Negatif,2,Sarkas,Mentan:Blunder
pinky💅🌷(JUNMIN gf),pengen KENTUT deh dengernya,-,0,Negatif,2,Sarkas,Mentan:Blunder
◤𝐑𝖎z̴𝓴𝐲_𝐊𝐲𝐥𝐞 ★ 𒆜💢,30 jt sebulan BB. 🤬,-,0,Negatif,5,Marah,Beras:Mahal
Mirzanie_🫦,gajine Jepang piro pak🤣🤣 lucu ah,-,0,Positif,5,Senang,Gajine:Lucu
Rini Ab,kalo mau samain sama jepang minimal upah kerja dinaikin dong persis jepang🤣jangan cuma gaji DPR😜,-,0,Negatif,2,Sarkas,Gaji:Kecil
yeniyeni,pak pak gaji 3 jute diteken sana sini coba para Mentri ngolah duit 3 juta buat sebulan makan bisa gak,-,0,Negatif,2,Marah,Gaji:Kecil
ceriwis,disamain am jepang woyyyy pak jepang gajinya brp 20jtaan woyyyy,-,0,Negatif,1,Sarkas,Jepang:Kecil
Dian,mentri Saket...dibandingkan kok sama jepang.. jepang UMK nya 20juta per bulan pak..,-,0,Negatif,2,Marah,Mentan:BedaUMR
IVANK 🇮🇩 🇳🇿,PEJABAT MAKIN KE SINI SEMANGKIN SANGAT KEBELINGER 😇😇😇😇,-,0,Negatif,1,Sarkas,Pejabat:MakinKeSiniSemangkinSangatKebelinger
LaNusi,preeet,-,0,Negatif,2,Marah,Beras:Mahal
Rajagombal,boleh aja beras 100 ribu per kilo tapi berani gak gaji karyawan 1 juta perbhari,-,0,Negatif,2,Sarkas,Gaji:Beda
MamanyaSahrulAzmi,"bisa2 di samakan dgn jepang, jelas2 UMR beda jauh😂",-,0,Negatif,2,Sarkas,UMR:Mengkhawatirkan
Cherry🍒,"lah bandingin sama jepang, kinerja lu sebagus pejabat jepang gak pak🤣",-,0,Negatif,2,Sarkas,Bandingan:Kritik
mister og,intinya gimana caranya bisa cuan terus😎,-,0,Negatif,1,Sarkas,Beras:Mahal
PutriSC39,di saruakeun jeng negara majuu KOCAK !!!,-,0,Negatif,2,Sarkas,Mentan:Blunder
Aan Habib,tolol dan bodoh kita 18.000/kg x 100/yen #beraskita180.000/kg #PECATmentan.,-,0,Negatif,5,Marah,Mentan:Bodoh
lupis,mentri ne gwendeng cok jepang negara maju UMR lebih majuuu,-,0,Negatif,1,Marah,Mentan:Blunder
helloworld,"coba para petani padi muncul, apakah petani sejahtera?",-,0,Negatif,2,Sarkas,Beras:Mahal
yayah uliyah,situlull😩😩 jepang UMR nya brapa duiddd tulul jepang negara maju rakyatnya juga makmurr😩 disamain sama UMR indonesia yanh sebulan cuma 5jt😩😩,-,0,Negatif,1,Marah,Mentan:Blunder
Ruska putra✅,curiga sma ijazah mentrinya,-,0,Negatif,1,Sarkas,Mentan:Blunder
RoNny Jitan ♈️,di Jepang ada kah korupsi trliunan kah?,-,0,Negatif,5,Sarkas,Korupsi:Netral
kanan,Jepang UMRnya berapaa pak???????????,-,0,Negatif,1,Sarkas,Jepang:Kaget
Rey,"Pak presiden,tolong seleksi dulu kalau dijadikan menteri dia berakal atau tidak🙏",-,0,Negatif,1,Marah,Mentan:Blunder
andreakk2q2,bapak blunder,-,0,Negatif,2,Sarkas,Mentan:Blunder
Hablunblun,membandingkan 2 hal yang berbeda itu cacat logika 🤐,-,0,Negatif,5,Sarkas,Membandingkan:Blunder
Ammar⛎,Makin kocak aja niih negeri dongeng konoha lawaaaakkkk🙄🙄🙄,-,0,Negatif,1,Sarkas,Mentan:Sarkas
diya.anggara,matane umr e kene jajan e anak jepang umur 7 th 🗿@RizkiHirzuna,-,0,Negatif,1,Marah,Mentan:Blunder
Indrawan,pak Mentri jangan membandingkan dengan jepang.kita negara miskin.,-,0,Negatif,2,Marah,Pak Mentri:Blunder
Wildan Asyraf,kadang kok tidak mikir yaaa kita beda dgn negara jepang.. beda segalanya,-,0,Negatif,2,Sarkas,Jepang:Beda
Ade Chan Public Gold,"yg dibandingin kinerja pejabatnya aja pak sama jepang, jgn harga beras, terlalu tolol. Pejabat di Jepang, ketauan tolol, ketauan gagal, korupsi, auto mundur!",-,0,Negatif,1,Marah,Pejabat:Ketololan
Ms. Novi,"Tolol bgt... Yg perlu dinaikin cara berpikir, logika & isi otak sibapak ini.😳",-,0,Negatif,5,Marah,Mentan:Blunder
Dian Dian,"ya bapak enak duduk duduk di ruang AC GK ngeluarin keringet dpt gaji ratusan juta,rakyat yg kerjanya banting tulang peras keringet sehari cuma dapet 30rbu kadang GK dapet duit ya jelas lah ribut.cobak bapak ganti posisi jadi rakyat biasa",-,0,Negatif,5,Marah,Gaji:Kecil
halosiapanamakamu,"lo samain sama jepang. kondisi kenyataan rakyat Pak. lo ngomongin indonesia, bangsa lo sendiri. gaji lo aja untuk naikin kesejahteraan rakyat.",-,0,Negatif,5,Marah,Mentan:Blunder
@arzhaka304,kalo di bandingkan dengan jepang gaji kita berapa pak.. cobak sini tolong anda saya gaji 100rb perhari.. kalo anda ngomong enak bandingkan dulu gaji anda dengan kita yg 100rb,-,0,Negatif,5,Sarkas,Gaji:Kecil
yyyyy,ih sumpah rakyat jelata lebih pinter dari pada bapak pejabat dipier ini ihhh,-,0,Negatif,1,Marah,Mentan:Blunder
RaniaArlin,Gil3 3m4ng,-,0,Negatif,1,Sarkas,Mentan:Blunder
Kibutsuji Muzan,bedain jgk tuhh one for all merah putih sama kimetsu no yaibaaa anj 🗿🗿,-,0,Negatif,2,Sarkas,Aspek:Netizen
Nadhira,🤔🤔 pakkkkk negara jepang kan negara maju 🤦🤦🤦 lain sama+62 semangkin lama semakin mundur,-,0,Negatif,1,Marah,Jepang:Beda
🐣,kepadaa 👀 🙄,-,0,Negatif,1,Marah,Mentan:Blunder
Dark Chocolate🍫❤‍🔥,Beli beras 50kg.. harganya 850.000,-,0,Negatif,2,Kecewa,Harga:BerasMahal
tikakartikasari0414,pak di Indonesia masih ada yg meninggal dunia karena cacingan. 😭,-,0,Negatif,1,Sedih,Pak di Indonesia:Kecewa
Polo Prayit,sana km TNGL di jepang,-,0,Negatif,2,Sarkas,Jepang:Beda
mami apang butik,"jepang negara makmur konoha negeri yg ngeri,masa disamakan 😂😂😂",-,0,Positif,5,Senang,Jepang:Keren
suthi,Jepang negara maju sedang indonesia negara maju korupsi 🙂‍↔️,-,0,Negatif,1,Sarkas,"Jepang:Maju, Indonesia:Korupsi"
Ilmira,lier kitu..di bandingkeun jeung jepang sagala,-,0,Negatif,1,Marah,Beras:Mahal
Floria br.Sormin,kok bisa sih segobl0k itu jadi pemimpin😭 plisss cem mana Konoha maju ... gw aja ketawa dongkol dia ngomong😏,-,0,Negatif,5,Sarkas,Mentan:Blunder
Hidayat,kok d bandingkn sama jepang..lucu,-,0,Positif,5,Lucu,Bandingkan:Senang
RAJU MAJHOTRA,"suka""kalian aja..kalau mau perbandingkan,dgn negara yg hampir sam income capita nya.,jgan dgn negara yg lbih tinggi capitanya di bandingkan",-,0,Negatif,2,Marah,Perbandingan:Beda
istiqomah6605,"giliran untuk rakyat, rakyat di suruh mencontoh. giliran cara kerjanya gak mau nyontoh🤣",-,0,Positif,5,Senang,Rakyat:Dukung
Emilia | OOTD Vibes,gaji gak naik² kebutuhan sehari-hari makin naik🫠,-,0,Negatif,2,Sarkas,Gaji:BedaDenganKebutuhan
private☑️,"Mentri tapi pemikirannya bandingin indo dengan jepang, jepang itu upah umpnya tinggi... berpuluh - puluh kali lipat gajinya dengan pekerja di Indonesia yang hanya 4jt/bln",-,0,Negatif,1,Marah,Mentan:Blunder
UD.ARTA JAYA MPA,yg bikin maju mundur rakyatnya juga.. jepang bisa maju karena rakyatnya bisa di atur,-,0,Negatif,2,Sarkas,Mentan:Blunder
Nijar,BANDINGKAN JUGA HUKUMAN PARA KORUPTORNYA PAK!!!,-,0,Negatif,5,Marah,Mentan:Blunder
MamahDianMsnNsn,rakyat mau bubarkan dpr di bilang tolol. tapi kyk gini cara berfikir kalian gaji kita cumak 3jt sebulan di bandingkan sama Jepang. TKW Jepang aja sebulan 20juta 10juta wajar lah. 3juta bayangin di situ token di situ beras dll,-,0,Negatif,1,Marah,Gaji:Kecil
– Firmannn.,disana sehari gaji bisa 500k kalo di rupiahin,-,0,Negatif,2,Sarkas,Gaji:Kecil
verawyi 🇮🇩🇰🇷,patokan di UMR pak... jangn disamain,-,0,Negatif,2,Marah,UMR:Beda
Yohanes putra,rada error pola pikir ny UMK indo 3jt jepang 30jt😂🥺,-,0,Negatif,5,Sarkas,UMK indo:Mahal
Ca On Bkt,Amran Bicara Kau ketinggian..saya tdk punya teman..saya tidak punya saudara..dll. jangan bandingkan cicak dan buaya...jelas beda jauh..,-,0,Negatif,1,Marah,Beras:Mahal
Carroot23,Beras naik harga padi segitu gitu doang,-,0,Negatif,2,Sarkas,Beras:Mahal
Teratai ❤️❤️,di jepang gaji asn berapa..ukr berapa om 😅😅,-,0,Positif,5,Senang,Gaji:Kecil
23 November,"pejabat sekarang tol'' ya, dari mata uang aja indonesia jauh rendah dari jepang😑",-,0,Negatif,1,Sarkas,Pejabat:Mengkhianati
FAY 🌙,"pak koruptor di luar negri hukumanya ngeri"" pak",-,0,Negatif,1,Marah,Pak Koruptor di Luar Negri:Blunder
Sport7,"saya senang kalau beras naik,karena saya seorang petani",-,0,Positif,5,Senang,Beras:Dukung
¥€¢£,beliau memperjuangkan petani tidak apa2 beras naik yg penting di kawal dengan ketat,-,0,Positif,4,Senang,Petani:Dukung
omlucu,Ini yg kasih kursi siapa?,-,0,Negatif,5,Sarkas,Mentan:Blunder
Nailis Saadah,woiiii gaji jepang berapa kang,-,0,Negatif,2,Sarkas,Gaji:Kecil
m🤍,harga beras 12 aja org k banyakan kelaparan,-,0,Negatif,2,Sarkas,Harga:BerasMahal
Sisbi Smart,jepang aja nikah.dan punya anak aja di kasih uang pak,-,0,Negatif,1,Sarkas,Jepang:Blunder
Mb nana🇮🇩,Indonesia banyak yang miskin pak. Jepang maju gubernur nya juga mikirin rakyat nya biar gak miskin,-,0,Positif,5,Senang,Jepang:Dukungan
Ian,heran deh kenapa bodo bodo sih 😂,-,0,Negatif,2,Sarkas,Beras:BedaHarga
TS REAL,"agak lain ini Mentri yaa,,,,ahhh nga tau mau ngomong apa lgi.",-,0,Negatif,2,Sarkas,Mentan:Blunder
Jijin Pisir,"ya iyalah ribut.. orang kita beli sendiri.. nah pejabat ada tunjangan beras.. nggak heran lah kalau santai Bae.. tunjangannya aja bisa buat lain""",-,0,Negatif,2,Sarkas,Beras:Mahal
saye suku laut ⚓,"ada beras di kasih sama gaza 10.000 ton akhirnya harga beras naik, rakyat makin menjerit coba bantu dulu rakyat di dalam negeri kalo sudah sejahtera baru tolongin masyarakat luar negeri 🙏",-,0,Positif,5,Senang,Beras:BantuRakyat
s_hafsoh,pendapatannya berapa pak paerkapitanya,-,0,Negatif,1,Marah,Mentan:Blunder
Moonfitstore,"Di jepang ekonominya beda sm di indo, pendapatan rata2 di jepang n di indo jg beda 😌, klu beras mau dijual 100rb per kilo di indo, di benerin dlu pendapatan masyarakatnya... ni menteri klu ngomong asbun g di nalar dlu 😌",-,0,Negatif,5,Marah,Mentan:Blunder
van 🍉,"gaji bapak lebih besar daripada umr jepang, pantes dia ngomong gitu",-,0,Negatif,2,Sarkas,Gaji:Besar
.....,"gajih urg ge 3 juta ,ddtu mah belasan ..kaget",-,0,Negatif,1,Kaget,Beras:Mahal
siza,"di jepang yg mau nikah di kasih duit sama pemerintah nya dan yg mau punya anak juga di kasih duit lgi sama pemerintah nya ,, nah kalo mau sama kyak jepang ini dulu lah di lakuin🤣🤣",-,0,Positif,5,Senang,Jepang:Keren
Teo Zakeru,"apapun yg memberatkan rakyat dibandingin dgn negara besar, tapi kalau menyangkut kemakmuran rakyat bisanya cuma bandingin dgn timor leste 🤣🤣🤣",-,0,Positif,5,Senang,Aspek:Sentimen
jainul Simanjuntak anak kualuh,ini lah ciri2 org yg tidak berpikir..,-,0,Negatif,1,Sarkas,Mentan:Blunder
cherry91,menteri pak Prabowo gak ada yg waras,-,0,Negatif,1,Sarkas,Mentan:Blunder
My Cutes,"kalau gaji rata² kita kya dpr, gpp deh pak beras naek, 100k/kg pun tak masalah.",-,0,Positif,5,Senang,Gaji:Banyak
Cancer ♋️,Main main ke jepang pak. Dan tanyakan gaji pelayan toko disana biar bapak paham,-,0,Positif,5,Senang,Jepang:Menarik
Ya Humairah,pejabat pikirannya udah pada gelo,-,0,Negatif,1,Sarkas,Pikirannya:MentanBlunder
✨mauliza😻,yaudah setiap petani padi olah sendri aja gak usah jual ke agen buat pabrik sndri giling sendri kita simpan sendri kapok ntar dia gak ad lgi Pdi dri kita,-,0,Negatif,5,Marah,Mentan:Blunder
Aminah,adedhhh,-,0,Negatif,2,Marah,Beras:Mahal
Zoro_88,haha ini katamya mentri yg paten itu,-,0,Negatif,2,Sarkas,Mentan:Blunder
@libra,jepang negara yg gimana bos,-,0,Negatif,5,Sarkas,Jepang:NegaraYangGimanaBos
Fauzi,naikan juga gaji UMR indonesia klo kau naikan harga beras,-,0,Negatif,2,Sarkas,Gaji:Beda
unknown,Rejekiku hari ini wd 28Jt,-,0,Negatif,2,Marah,Beras:Mahal
mcd.88,jangan samakan negara kita dgn jepang pak....,-,0,Negatif,2,Marah,Mentan:Blunder
putri BUNGSU ☘️,"harga beras harus seimbang dgn harga gabah, agar konsumen beras dan petani sama2 untung, karena Skrang modal tani juga GK main2 mahalnya",-,0,Negatif,2,Sarkas,Harga:BerasMahal
roamingGirl,"kalo pendapatanmu ,ya jlas gak ribut pak ..",-,0,Negatif,2,Sarkas,Pendapatan:BisaDipahami
Bandung Online,anjay.... jepang pulak,-,0,Negatif,2,Sarkas,Jepang:Anjay
umi sholihah,konsep e piye kok disamakan jepang.. yaallah..,-,0,Negatif,1,Sarkas,Konsep e piye:Blunder
nnaa.,semua otak mentrinya koplak semua efek kebanyakan menghayal,-,0,Negatif,1,Sarkas,Mentan:Blunder
tiomargana2,"menteri""nya aneh"" 5th kedepan",-,0,Negatif,5,Sarkas,Mentan:Aneh
lajoorting,"kamu bicara Krn tidak paham kehidupan rakyat jelata bos, menurut mu apakah mencari uang sama mudahnya di Indonesia dgn jepang???",-,0,Negatif,2,Marah,Mentan:BedaHarga
Bianco,Jepang income perkapita nya brp tolollll,-,0,Negatif,1,Sarkas,Jepang:Kecil
Posting Posting,"Anak suharto kok dikasi panggung sih?? Gak kapok kapok ya,,,??",-,0,Negatif,1,Sarkas,Mentan:Blunder
Hanafi M,😅😅😅,-,0,Negatif,2,Sarkas,Beras:Mahal
AP,di Jepang lapangan kerja terbuka.. gajind jjepngb15 juta bersih.. lah indo... 😂😂😂 kocak,-,0,Positif,5,Senang,Jepang:Kocak
fanina141,😁,-,0,Negatif,2,Marah,Harga:Beras:Mahal
uny_나이,😁,-,0,Negatif,2,Marah,Harga:Beras:Mahal
uny_나이,😄,-,0,Negatif,2,Marah,Beras:Mahal
🌹,🤣🤣🤣,-,0,Negatif,5,Sarkas,Mentan:Blunder
SE7EN,🤣🤣🤣,-,0,Negatif,2,Sarkas,Beras:Mahal
ekakurniawan38105,☺,-,0,Negatif,1,Marah,Beras:Mahal
ekakurniawan38105,🥰,-,0,Negatif,1,Marah,Beras:Mahal
Ndraa,🔥,-,0,Negatif,1,Marah,Mentan:Blunder
!|h@M,😂,-,0,Negatif,2,Sarkas,Beras:Mahal
.,"lah jepang gede coy ekonominya,disini umr paling gede berapa?5,6 juga udah gede banget disini",-,0,Negatif,2,Sarkas,UMR:Malah
Unii 🖤🤍♥️,"bangun woi bangunnn Jepang negara maju, pengeluaran dengan pemasukan seimbang. Indonesia??? ahh sudahlah 🤣 kalau mau narik perbandingan minimal ngaca dulu pak 🤣",-,0,Negatif,1,Sarkas,Mentan:Blunder
yoya,tolol banget cok🤣,-,0,Negatif,5,Sarkas,Beras:Mahal
@'her7099,😂🤣,-,0,Negatif,2,Sarkas,Beras:Mahal
ChrllHnnm_,🥰🥰🥰,-,0,Negatif,2,Marah,Beras:Mahal
mayy,💗💗💗,-,0,Negatif,2,Marah,Beras:Mahal
I Komang,🥰,-,0,Negatif,2,Marah,Beras:Mahal
Ghina Ramadhan,😳,-,0,Negatif,1,Marah,Mentan:Blunder
hadi yatullah,"samakan aja pak harga beras dengan di Jepang,,, supaya petani kita biar makmur",-,0,Negatif,2,Sarkas,Harga:BerasMahal
￶98%,😁,-,0,Negatif,1,Marah,Beras:Mahal
madarijul ulum Al Munawwarah,🥰,-,0,Negatif,1,Marah,Beras:Mahal
Riff,🗿,-,0,Negatif,1,Marah,Mentan:Blunder
sam sodin,di daerah saya desa slemanan udanawu blitar pupuk masih langka....dan beli nya sangat ribet,-,0,Negatif,2,Sedih,Pupuk:Langka
manusia ajaib,🔥,-,0,Negatif,1,Marah,Mentan:Blunder
Hani'ah Haya,🥰🥰🥰,-,0,Negatif,1,Marah,Mentan:Blunder
RIZCS Trump,"Blookk gobloookk jepang negar maju, indo negara mundur. Stupid question!",-,0,Negatif,1,Sarkas,Jepang:Blunder
IYA DONG,🗿,-,0,Negatif,1,Marah,Mentan:Blunder
Cafecefa,😂,-,0,Negatif,2,Sarkas,Beras:Mahal
Htm jaya,woiiiiii UMR indinesia brapa. beda sana jepang..jauuuh,-,0,Negatif,1,Marah,Mentan:Blunder
Iteung,😢,-,0,Negatif,2,Marah,Beras:Mahal
souvenir Semarang Demak,😭,-,0,Negatif,2,Marah,Beras:Mahal
souvenir Semarang Demak,💜,-,0,Negatif,1,Marah,Mentan:Blunder
Evnsta,🔥,-,0,Negatif,1,Marah,Mentan:Blunder
nnaaa,🗿,-,0,Negatif,1,Marah,Mentan:Blunder
PLCSOLUTIONINDO,😂😂😂,-,0,Negatif,2,Sarkas,Beras:Mahal
Rifqi Dani,😁,-,0,Negatif,2,Marah,Harga:Beras:Mahal
🍋,😁,-,0,Negatif,1,Marah,Beras:Mahal
Vaundy,"jepang upah 20jt sebulan, harga beras cuma 1000yen,",-,0,Positif,5,Senang,Jepang:BerasMurah
d@n,😁,-,0,Negatif,1,Marah,Beras:Mahal
Danny,😁,-,0,Negatif,2,Marah,Beras:Mahal
Danny,😂,-,0,Negatif,2,Sarkas,Beras:Mahal
p,🥰,-,0,Negatif,1,Marah,Beras:Mahal
slebewww,😂,-,0,Negatif,2,Sarkas,Beras:Mahal
C-MOOON,"yang kayak gini aja patokannya luar negri, giliran soal bayaran guru jangan samain sama luar negri🥴",-,0,Negatif,2,Sarkas,Patokan:Beda
💪💪,😁,-,0,Negatif,1,Marah,Beras:Mahal
Pribadi Sugianto,@pribadi.sugianto loe lebih cocok jadi mentro,-,0,Negatif,2,Sarkas,Mentan:Blunder
IBenG.XV,negara maju di samain negara ambles gmna to pak pak..,-,0,Negatif,5,Sarkas,Pemerintahan:Blunder
03.bi,😁,-,0,Negatif,2,Marah,Beras:Mahal
Eleutheria,🌸,-,0,Negatif,1,Marah,Mentan:Blunder
🇰 🇴 🇵 🇮𝙃ⁱᵗᵃᵐ 𝙈ᵃⁿⁱˢ𝙚💦,pk Jepang negara Dan Rakyatnya maju😏 lah Indonesia Negara maju Rakyat jdi babu di Jepang dan kalian anggota DPR cuma bisa narik ulur ekonomi kami,-,0,Negatif,1,Marah,Mentan:Blunder
DZAHINHF_1345🌻,dongdong o,-,0,Negatif,2,Marah,Beras:Mahal
markettiktok11,"jgn di smain sma jepang, dia neagara maju,,indo mah masih berkembang",-,0,Negatif,2,Sarkas,Jepang:Beda
Eti Nurbaeti,segini aja udah banyak yng kelaperan,-,0,Negatif,2,Sarkas,Beras:Mahal
Nanang C.H,👍🏻,-,0,Negatif,1,Marah,Mentan:Blunder
panjiakbar,usut @kpk_ri,-,0,Negatif,1,Marah,Mentan:Blunder
dalidalianto,Jepang gaji karyawan beda jauh bosku sopir aja gajinya 60 jt per bln. sedangkan di negara kita cuma bisa buat makan 15 hari gaji 1 bln,-,0,Negatif,5,Marah,Gaji:Kecil
hermi,😳,-,0,Negatif,2,Marah,Harga:Beras:Mahal
hermi,😁,-,0,Negatif,1,Marah,Beras:Mahal
Ms. Parvesho,"Helloo mending mundur pak jadi rakyat biasa aja kalau SDM hanya segini, jepang negara maju pak rakyatnya juga sejahtera, lah Indonesia negara mundur pejabat2nya yg sejahtera pak awoh Ampung dah",-,0,Negatif,1,Marah,Mentan:Blunder
arieeessss♈,@rizalmuk 😳,-,0,Negatif,1,Marah,Mentan:Blunder
iklas,pret,-,0,Negatif,1,Marah,Mentan:Blunder
badrun,😁,-,0,Negatif,1,Marah,Beras:Mahal
